,DONOTIMPORT,JOURNAL,DATE,REVERSEDATE,DESCRIPTION,REFERENCE_NO,SOURCEENTITY,LINE_NO,ACCT_NO,LOCATION_ID,DEPT_ID,GLENTRY_CLASSID,GLENTRY_PROJECTID,DOCUMENT,MEMO,DEBIT,CREDIT,CURRENCY,EXCH_RATE_DATE,EXCH_RATE_TYPE_ID,EXCHANGE_RATE,GLENTRY_CUSTOMERID,GLENTRY_VENDORID,GLENTRY_EMPLOYEEID,GLENTRY_ITEMID,ALLOCATION_ID
ARB00020_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00020_USD,,,,,108.56,,,,,,,,,
ARB00022_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00022_USD,,,,,98.78,,,,,,,,,
ARB00023_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00023_USD,,,,,4.0,,,,,,,,,
ARB00033_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00033_USD,,,,,690.12,,,,,,,,,
ARB00054_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00054_USD,,,,,570.6,,,,,,,,,
ARB00055_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00055_USD,,,,,20.0,,,,,,,,,
ARB00068_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00068_USD,,,,,943.28,,,,,,,,,
ARB00090_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00090_USD,,,,,128.04,,,,,,,,,
ARB00110_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00110_USD,,,,,39.44,,,,,,,,,
ARB00112_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00112_USD,,,,,84.36,,,,,,,,,
ARB00113_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00113_USD,,,,,134.36,,,,,,,,,
ARB00122_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00122_USD,,,,,0.08,,,,,,,,,
ARB00123_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00123_USD,,,,,210.5,,,,,,,,,
ARB00124_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00124_USD,,,,,39.72,,,,,,,,,
ARB00126_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00126_USD,,,,,9.52,,,,,,,,,
ARB00132_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00132_USD,,,,,57.6,,,,,,,,,
ARB00135_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00135_USD,,,,,85.68,,,,,,,,,
ARB00141_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00141_USD,,,,,163.46,,,,,,,,,
ARB00143_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00143_USD,,,,,11.2,,,,,,,,,
ARB00146_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00146_USD,,,,,23.44,,,,,,,,,
ARB00149_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00149_USD,,,,,67.19999999999999,,,,,,,,,
ARB00156_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00156_USD,,,,,333.35999999999996,,,,,,,,,
ARB00159_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00159_USD,,,,,22.8,,,,,,,,,
ARB00160_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00160_USD,,,,,41.519999999999996,,,,,,,,,
ARB00169_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00169_USD,,,,,65.53,,,,,,,,,
ARB00186_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00186_USD,,,,,105.5,,,,,,,,,
ARB00188_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00188_USD,,,,,30.32,,,,,,,,,
ARB00193_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00193_USD,,,,,344.71999999999997,,,,,,,,,
ARB00194_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00194_USD,,,,,665.5,,,,,,,,,
ARB00201_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00201_USD,,,,,50.419999999999995,,,,,,,,,
ARB00214_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00214_USD,,,,,42.0,,,,,,,,,
ARB00220_USD,,,,,Wedbush_Clearing and Exchange Fees_20250402,,,,12100,,,ARB00220_USD,,,,,305.2,,,,,,,,,
